game,rating,platform,genre,release
3D Galaxy Force II,7,Nintendo 3DS,Action,2013-06-11
3D Game Collection,3,Nintendo 3DS,Puzzle,2012-01-31
3D Gunstar Heroes,7,Nintendo 3DS,Action,2015-08-20
3D Hunting 2010,16,PC,Sports,2010-04-02
3D MahJongg,3,Nintendo 3DS,Board / Card,2012-03-01
3D Modeltreinen,3,PC,Simulation,2006-06-01
3D Modeltreinen Vista,3,PC,Simulation,2007-11-26
3D Outrun,3,Nintendo 3DS,Action,2015-03-12
3D Pixel Racing,3,Nintendo Wii – WiiWare,Racing,2011-07-25
3D Shinobi III,12,Nintendo 3DS,Action,2013-06-06
3D Solitaire,3,Nintendo 3DS,Board / Card,2012-03-10
3D Sonic The Hedgehog 2,3,Nintendo 3DS,Adventure,2015-09-16
3D Sonic the Hedgehog,3,Nintendo 3DS,Action,2013-06-06
3D Space Harrier,7,Nintendo 3DS,Action,2013-08-30
3D Space Tank,7,Nintendo DSi - DSiWare,Action,2010-07-16
3D Streets of Rage,12,Nintendo 3DS,Action,2013-07-17
3D Streets of Rage 2,12,Nintendo 3DS,Action,2015-06-16
3D Super Hang-On,3,Nintendo 3DS,Racing,2013-12-20
3D Thunder Blade,7,Nintendo 3DS,Action,2015-05-14
3D Twist & Match,3,Nintendo DSi - DSiWare,Puzzle,2011-04-18
3D Twist & Match,3,Sony PSP,Puzzle,2011-03-30
3D Ultra Maximum Cueball,3,PC,Action,2005-06-10
3D Ultra Mini Golf Adventure 2,7,PlayStation Network,Sports,2010-06-24
3D Ultra Mini Golf Adventure 2,7,XBOX 360 Live Arcade,Sports,2010-05-19
3D Ultra Minigolf Adventures,3,PC,Sports,2006-12-15
3D Ultra Minigolf Adventures,3,XBox 360,Sports,2006-12-15
3D Ultra Minigolf Adventures Expansion - Lost Island,3,PC,Sports,2007-09-01
3D Ultra Minigolf Adventures Expansion - Lost Island,3,XBOX 360 Live Arcade,Sports,2007-09-01
3D Ultra Pinball Creep Night,3,PC,Action,2005-06-10
3D Ultra Pinball The Lost Continent,3,PC,Action,2005-06-10
3D Ultra Pinball Thrillride,3,PC,Action,2005-06-10
3D-Knifflis,3,PC,Puzzle,2011-03-18
3DS Mystery Case Files: Return to Ravenhearst,7,Nintendo 3DS,Puzzle,2013-05-31
3on3 FreeStyle,12,PlayStation 4,Sports,2017-01-30
3switcheD,3,PC,Racing,2012-02-15
4 Elements,3,Nintendo 3DS,Puzzle,2012-12-30
4 Elements,3,Nintendo DS,Puzzle,2009-11-16
4 Elements,3,PC,Puzzle,2009-02-16
4 Elements HD,3,Playstation 3,Puzzle,2011-02-22
4 Elements II,3,PC,Puzzle,2011-09-15
4 TRAVELLERS™ - Play French,3,Nintendo DSi - DSiWare,Educational,2010-05-21
4 TRAVELLERS™ - Play Italian,3,Nintendo DSi - DSiWare,Board / Card,2010-12-17
4 TRAVELLERS™ - Play Spanish,3,Nintendo DSi - DSiWare,Board / Card,2009-12-12
4 in 1 Action Pack,12,Playstation 3,Action,2012-03-01
4 leaf clover,3,PC,Racing,
40-in-1 Explosive Megamix,7,Nintendo DSi - DSiWare,Other,2011-11-29
42 All Time Classics,12,Nintendo DS,Other,2006-09-29
47 Dead Men,12,PC,Action,2008-05-22
4Story,12,PC,RPG,2008-07-16
4x4 Hummer,7,PC,Racing,2009-03-31
4x4 Jam,3,Sony PSP,Racing,2010-06-09
5 Arcade Gems,3,Nintendo Wii – WiiWare,Other,2010-05-14
5 Star Wrestling,16,Playstation 3,Action,2015-03-10
5 Star Wrestling: ReGenesis,16,PlayStation 4,Sports,2016-01-14
5 in 1 Mahjong,3,Nintendo DSi - DSiWare,Puzzle,2010-12-20
5 in 1 Solitaire,3,Nintendo DSi - DSiWare,Board / Card,2010-07-16
5 in 1 Solitaire,3,Sony PSP - PSP GO,Board / Card,2011-09-14
5-in-1 Arcade Hits,3,Sony PSP - PSP GO,Other,2010-05-20
50 CENT : BULLETPROOF,18,Playstation 2,Action,2005-11-28
50 CENT : BULLETPROOF,18,XBox,Action,2005-11-28
50 Cent Bulletproof G-Unit Edition,18,Sony PSP,Action,2006-10-20
50 Cent: Blood on the Sand,18,Playstation 3,Action,2009-01-23
50 Cent: Blood on the Sand,18,XBox 360,Action,2009-01-23
50 Classic Games,12,Nintendo DS,Other,2010-06-30
50 Denk- & Logikspiele 3DS,12,Nintendo 3DS,Adventure,2012-01-31
50 Denk- und Logikspiele,12,Nintendo DS,Other,2009-05-29
50 Kartenspiele,12,PC,Board / Card,2009-12-30
50 juegos de caballos,3,PC,Other,2007-10-05
50.000 Kakuro Puzzels,3,PC,Puzzle,2008-12-30
505 Great Games,12,PC,Other,2009-02-18
505 Tangram,3,Nintendo DSi - DSiWare,Puzzle,2010-12-17
530 Eco Shooter,7,Nintendo Wii – WiiWare,Action,2010-01-29
5Spots Party,3,Nintendo Wii – WiiWare,Puzzle,2009-05-30
5in1 Casual: Cardboard Castle + Saving Private Sheep 1+2 + Kung Fu Rabbit + Jazz: Trumpets Journey,3,PC,Adventure,2014-09-19
6180 the moon,3,Xbox One,Action,2015-12-11
688 Hunter Killer,7,PC,Simulation,2011-05-10
7 Artifacts,3,PC,Other,2008-12-17
7 Days to Die,18,PlayStation 4,Action,2016-03-14
7 Days to Die,18,Xbox One,Action,2016-03-13
7 Roses - A Darkness Rises,7,PC,Puzzle,2015-06-30
7 Sins,16,PC,RPG,2005-05-01
7 Sins,16,Playstation 2,Simulation,2005-05-01
7 Wonders,3,Nintendo DS,Puzzle,2008-04-25
7 Wonders,3,Playstation 2,Puzzle,2008-04-25
7 Wonders,3,Sony PSP,Puzzle,2008-04-25
7 Wonders - Ancient Alien Makeover,3,PC,Puzzle,2013-01-15
7 Wonders - Special Edition,3,PC,Puzzle,2009-02-16
7 Wonders - Treasures of Seven,3,PC,Puzzle,2009-04-01
7 Wonders 2,3,Nintendo DS,Puzzle,2009-06-24
7 Wonders 2,3,Nintendo DS,Puzzle,2010-02-26
7 Wonders 2 on PC,3,PC,Puzzle,2008-04-25
7 Wonders 4,3,PC,Puzzle,2011-10-28
